MMSI,Latitude,Longitude,COG,SOG,Time
245070000,52.5429,1.9606,174.1,6.9,20/11/2018 15:22:18.761
205591000,51.2312,2.9256,120.2,0.0,20/11/2018 15:22:18.786
374032000,51.4593,0.3558,264.9,0.0,20/11/2018 15:22:18.952
000012388,52.0465,1.1625,184.2,0.1,20/11/2018 15:22:19.174
235116489,51.4039,0.5337,93.3,0.1,20/11/2018 15:22:19.273
235066459,52.4731,1.7511,119.3,0.1,20/11/2018 15:22:19.341
235091146,51.4912,0.1829,0.0,0.0,20/11/2018 15:22:19.405
235084467,51.3288,1.4207,221.9,0.1,20/11/2018 15:22:20.158
244820968,51.2251,2.9364,357.3,0.0,20/11/2018 15:22:20.216
209488000,50.7088,0.702,237.0,12.1,20/11/2018 15:22:20.277
247003000,52.7392,2.1432,293.0,9.9,20/11/2018 15:22:20.350
205639000,51.2268,2.9345,305.9,0.0,20/11/2018 15:22:20.364
374124000,51.0457,1.6461,53.0,10.2,20/11/2018 15:22:20.642
235004900,52.219,2.2064,53.9,3.2,20/11/2018 15:22:20.848
275402000,50.9578,1.8624,170.5,0.0,20/11/2018 15:22:20.923
212931000,51.1831,1.9689,58.0,13.5,20/11/2018 15:22:20.923
235052172,52.5967,1.7272,360.0,0.1,20/11/2018 15:22:20.926
235114598,51.4456,0.3744,358.4,0.1,20/11/2018 15:22:20.941
248759000,51.1132,1.7328,175.1,13.4,20/11/2018 15:22:21.017
235085696,51.4456,0.3747,155.3,0.0,20/11/2018 15:22:21.052
227832880,51.09,1.7225,40.6,2.0,20/11/2018 15:22:21.054
538004273,51.3609,2.8057,87.1,10.6,20/11/2018 15:22:21.106
235095777,51.2299,2.937,0.0,0.0,20/11/2018 15:22:21.310
256759000,51.5055,0.5197,158.0,0.2,20/11/2018 15:22:21.495
235088195,51.8041,1.0216,233.0,0.0,20/11/2018 15:22:21.623
253415000,51.2306,2.9356,251.0,0.0,20/11/2018 15:22:21.725
248948000,51.4666,2.2193,37.0,10.3,20/11/2018 15:22:22.001
245072000,52.5492,2.0015,7.5,7.5,20/11/2018 15:22:22.386
219447000,51.2275,2.9333,314.1,0.0,20/11/2018 15:22:22.888
235103276,51.4589,0.2796,263.6,5.9,20/11/2018 15:22:23.602
636015020,51.357,2.3633,248.5,8.7,20/11/2018 15:22:23.952
